TCR_Group,Model,N_Rows,N_Scored,N_Positive,N_Negative,AUC01,Spearman_Rho_vs_log2FC,Spearman_P_vs_log2FC
SVAR.6,EPACT,172,172,167,5,0.6659312953041285,0.3642129839810561,9.036669123767093e-07
SVAR.6,PanPep,172,172,167,5,0.5524739993696817,-0.04002381949073881,0.6021655521368228
SVAR.6,TITAN,172,172,167,5,0.489442168294989,-0.23216928346978863,0.002179202943061264
SVAR.6,NetTCR,172,172,167,5,0.5146549007248661,0.040357528197234566,0.5991392065123952
SVAR.6,NetTCR22,172,172,167,5,0.7825401827923101,-0.11954318461882385,0.11829539936408548
SVAR.6,ERGO2,172,172,167,5,0.5020485345099275,0.20465187578503574,0.007081728919231117
SVAR.6,SCEPTR,172,172,167,5,0.5721714465805232,0.19312064359887837,0.011141615003491716
SVAR.7,ERGO,172,172,149,23,0.4970282432079615,-0.05851718341696562,0.445759693507914
SVAR.7,EPACT,172,172,149,23,0.47614147712438376,-0.4822004583569992,2.1169397892596088e-11
SVAR.7,PanPep,172,172,149,23,0.48074885199576123,-0.3065333477237373,4.318836118817188e-05
SVAR.7,TITAN,172,172,149,23,0.47368421052631576,-0.19810469181327237,0.00918624327257072
SVAR.7,NetTCR,172,172,149,23,0.5143826885568166,-0.02373114994995331,0.7573175814198513
SVAR.7,NetTCR22,172,172,149,23,0.5633744413557968,0.07449399587271308,0.33144579766506865
SVAR.7,ERGO2,172,172,149,23,0.5575384331853854,0.1737131968212334,0.02266886733787432
SVAR.7,SCEPTR,172,172,149,23,0.5,,
SVAR.73,ERGO,172,172,134,38,0.5268119237606979,-0.22058066596915465,0.003641022708843206
SVAR.73,EPACT,172,172,134,38,0.5268119237606979,-0.498686682937653,3.354547920547208e-12
SVAR.73,PanPep,172,172,134,38,0.4819531153098772,-0.24372924266372903,0.0012734381701574946
SVAR.73,TITAN,172,172,134,38,0.47761194029850745,-0.15151699175874625,0.047243897607131616
SVAR.73,NetTCR,172,172,134,38,0.5232976392276842,-0.031005484978204833,0.6863854512012182
SVAR.73,NetTCR22,172,172,134,38,0.5309463761524786,-0.009633939768461759,0.9001835088154349
SVAR.73,ERGO2,172,172,134,38,0.4889816843759044,0.007703614260386863,0.9201087539788638
SVAR.73,SCEPTR,172,172,134,38,0.5,,
SVAR.74,ERGO,172,172,172,0,,-0.11502233374715375,0.13296925372825
SVAR.74,EPACT,172,172,172,0,,0.2934152001555249,9.368971452789348e-05
SVAR.74,PanPep,172,172,172,0,,-0.02685591785339362,0.7265586964586648
SVAR.74,TITAN,172,172,172,0,,-0.1272233516189019,0.0962890070268565
SVAR.74,NetTCR,172,172,172,0,,0.007077462961847134,0.9265833298949422
SVAR.74,NetTCR22,172,172,172,0,,-0.022990552377063243,0.7646659779132186
SVAR.74,ERGO2,172,172,172,0,,0.15965798944438794,0.03643264811750194
SVAR.74,SCEPTR,172,172,172,0,,0.13283229277153355,0.08237266384733029
SVAR.75,ERGO,172,172,172,0,,-0.16038417772652933,0.03557903881258845
