ID,ERGO_Prob,ERGO2_Prob,NetTCR_Prob,NetTCR22_Prob,TITAN_Prob,EPACT_Prob,PanPep_Prob,SCEPTR_Prob
fp_40,0.09811615943908691,0.2857706546783447,0.007678181,0.21092121,0.009512164629995823,0.8006831,0.8405894,0.0
fp_41,0.15238957107067108,0.3019534349441528,0.0062253773,0.60277367,0.010853437706828117,0.67998105,0.68690705,0.0
fp_42,0.10501179844141006,0.0071885660290718,0.007929921,0.3605741,0.0040557472966611385,0.7957617,0.8612251,0.0
fp_43,0.08524788916110992,0.0012519945157691,0.0075011253,0.5760816,0.0030895774252712727,0.77054435,0.78287923,0.2
fp_44,0.04340316355228424,0.0070938752032816,0.01657316,0.2006667,0.010618442669510841,0.7329532,0.85466844,0.0
fp_45,0.13553155958652496,0.0051872809417545,0.0062730312,0.52999514,0.007860000245273113,0.6639493,0.75637776,0.0
fp_46,0.08259043097496033,0.0041724131442606,0.009953558,0.20763047,0.016597410663962364,0.6439592,0.7186748,0.0
fp_47,0.10977721214294434,0.330098420381546,0.007193744,0.48963508,0.019550807774066925,0.26986587,0.75879586,0.0
fp_48,0.09969061613082886,0.0049951220862567,0.015274584,0.22756402,0.010169729590415955,0.74945575,0.8172132,0.0
fp_49,0.1439657360315323,0.0021310951560735,0.007225752,0.7055076,0.00402853824198246,0.6719634,0.67513376,0.0
fp_50,0.044055867940187454,0.0078330729156732,0.008455515,0.23491614,0.016019335016608238,0.59416676,0.88978624,0.0
fp_51,0.1337956339120865,0.1631136387586593,0.0070580244,0.5323733,0.010983999818563461,0.78549576,0.6643474,0.0
fp_52,0.11481548100709915,0.2909191846847534,0.011629701,0.27774718,0.01045551523566246,0.7566109,0.7552422,0.0
fp_53,0.16645480692386627,0.1361533552408218,0.0074486732,0.2699762,0.009445128031075,0.5115961,0.6816672,0.0
fp_54,0.37146317958831787,0.0040020169690251,0.008111179,0.16567048,0.008882833644747734,0.6918004,0.8325243,0.0
fp_55,0.08474352210760117,0.0093228155747056,0.0076097846,0.6218687,0.010245220735669136,0.25507915,0.80764246,0.0
fp_56,0.0828305333852768,0.0110306562855839,0.01809004,0.29244187,0.005271815694868565,0.23930442,0.8307225,0.0
fp_57,0.12413996458053589,0.0047040819190442,0.0051339865,0.51262367,0.010105620138347149,0.80428535,0.70281863,0.0
fp_58,0.09634878486394882,0.0063998023979365,0.006274253,0.6272298,0.014516152441501617,0.7797764,0.86507034,0.0
fp_59,0.10972238332033157,0.4142474234104156,0.0060260296,0.60495746,0.0014294289285317063,0.5100133,0.77551496,0.0
fp_60,0.09974373877048492,0.0036073562223464,0.008289546,0.21622443,0.003184225410223007,0.78804284,0.8695365,0.0
fp_61,0.11392293870449066,0.4386253952980041,0.005457282,0.6922058,0.0010846933582797647,0.51513535,0.72519934,0.0
fp_62,0.09879810363054276,0.0255269780755043,0.0071320534,0.6736593,0.010877319611608982,0.748863,0.88952243,0.0
fp_63,0.10637728124856949,0.391859769821167,0.0064226687,0.2277178,0.00157548813149333,0.6046537,0.7418443,0.0
fp_64,0.29308438301086426,0.0043536531738936,0.008216798,0.33068055,0.02105513960123062,0.75147307,0.87835443,0.0
fp_65,0.1320115029811859,0.3788316547870636,0.0072992444,0.27893546,0.003039684146642685,0.5540653,0.74064875,0.0
fp_66,0.06365560740232468,0.0141209606081247,0.0063029528,0.2845747,0.006859183311462402,0.40755355,0.76260215,0.0
fp_67,0.09706007689237595,0.3787575662136078,0.0071119964,0.4294125,0.0015996561851352453,0.48852003,0.80655575,0.0
fp_68,0.08183681964874268,0.0176067147403955,0.009008735,0.16938674,0.012930523604154587,0.7397311,0.70346177,0.0
fp_69,0.11073197424411774,0.1475076377391815,0.0056625903,0.53908736,0.003192322328686714,0.5157974,0.7483983,0.0
fp_70,0.10616037994623184,0.0060506328009068,0.006436169,0.24749693,0.010643082670867443,0.72047865,0.85983396,0.0
